Depth,WOB,SURF_RPM,ROP AVG,PHIF,VSH,SW
1000,12.5,110,18.2,0.18,0.32,0.42
1005,13.1,112,19.0,0.19,0.30,0.40
1010,13.8,111,20.4,0.20,0.29,0.39
1015,14.2,115,21.1,0.21,0.28,0.38
1020,14.0,116,20.7,0.20,0.31,0.41
1025,15.3,118,22.5,0.22,0.27,0.37
1030,16.0,120,23.8,0.23,0.26,0.36
1035,16.4,119,24.1,0.24,0.25,0.35
1040,17.2,121,25.6,0.24,0.24,0.34
1045,17.8,123,26.4,0.25,0.23,0.33
1050,18.1,124,27.0,0.26,0.22,0.32
1055,18.7,125,27.8,0.26,0.21,0.31
1060,19.3,126,28.5,0.27,0.20,0.30
1065,20.1,128,29.4,0.28,0.19,0.29
1070,20.6,127,30.0,0.28,0.18,0.28
1075,21.0,129,30.6,0.29,0.18,0.27
1080,21.5,130,31.2,0.30,0.17,0.26
1085,21.2,129,30.7,0.29,0.18,0.27
1090,20.8,128,29.8,0.28,0.19,0.28
1095,20.3,126,28.9,0.27,0.20,0.29
1100,19.9,125,28.1,0.27,0.21,0.30
1105,19.4,124,27.4,0.26,0.22,0.31
1110,18.8,122,26.6,0.25,0.23,0.32
1115,18.2,121,25.7,0.24,0.24,0.33
1120,17.6,119,24.9,0.23,0.25,0.34
1125,17.1,118,24.2,0.22,0.26,0.35
1130,16.7,116,23.6,0.21,0.27,0.36
1135,16.2,115,22.8,0.20,0.28,0.37
1140,15.8,113,22.1,0.19,0.29,0.38
1145,15.4,112,21.5,0.18,0.30,0.39
1150,15.0,111,20.9,0.18,0.31,0.40
